x,kt2,mu2,time_per_call_ns
0.6,10,1000,963
0.6,10,2000,1033
0.6,10,5000,1034
0.6,20,4,1034
0.6,20,5,1050
0.6,20,10,998
0.6,20,20,1061
0.6,20,50,1039
0.6,20,100,1020
0.6,20,200,1070
0.6,20,500,1033
0.6,20,1000,1009
0.6,20,2000,1068
0.6,20,5000,1157
0.6,50,4,1014
0.6,50,5,1072
0.6,50,10,999
0.6,50,20,1098
0.6,50,50,1070
0.6,50,100,973
0.6,50,200,1411
0.6,50,500,1053
0.6,50,1000,1046
0.6,50,2000,1094
0.6,50,5000,1130
0.6,100,4,1010
0.6,100,5,1103
0.6,100,10,1051
0.6,100,20,1041
0.6,100,50,1056
0.6,100,100,936
0.6,100,200,1072
0.6,100,500,1010
0.6,100,1000,981
0.6,100,2000,1077
0.6,100,5000,1038
0.6,200,4,1046
0.6,200,5,1065
0.6,200,10,1024
0.6,200,20,1066
0.6,200,50,1037
0.6,200,100,1038
0.6,200,200,1092
0.6,200,500,1050
0.6,200,1000,1333
0.6,200,2000,1073
0.6,200,5000,1082
0.6,500,4,1022
0.6,500,5,1013
0.6,500,10,979
0.6,500,20,1112
0.6,500,50,1019
0.6,500,100,955
0.6,500,200,1047
0.6,500,500,1037
0.6,500,1000,1144
0.6,500,2000,1083
0.6,500,5000,1073
0.6,1000,4,1000
0.6,1000,5,1071
0.6,1000,10,996
0.6,1000,20,1090
0.6,1000,50,1066
0.6,1000,100,958
0.6,1000,200,1150
0.6,1000,500,1041
0.6,1000,1000,1014
0.6,1000,2000,1132
0.6,1000,5000,1334
0.6,2000,4,1061
0.6,2000,5,975
0.6,2000,10,922
0.6,2000,20,1037
0.6,2000,50,977
0.6,2000,100,891
0.6,2000,200,1014
0.6,2000,500,975
0.6,2000,1000,911
0.6,2000,2000,1000
0.6,2000,5000,1054
0.6,5000,4,1038
0.6,5000,5,1082
0.6,5000,10,1023
0.6,5000,20,1113
0.6,5000,50,1086
0.6,5000,100,1004
0.6,5000,200,1078
0.6,5000,500,1056
0.6,5000,1000,1000
0.6,5000,2000,1102
0.6,5000,5000,1096
0.7,1,4,1037
0.7,1,5,1050
0.7,1,10,1343
0.7,1,20,1079
0.7,1,50,1040
0.7,1,100,977
0.7,1,200,1097
0.7,1,500,1105
0.7,1,1000,1039
0.7,1,2000,1114
0.7,1,5000,1090
0.7,2,4,983
0.7,2,5,991
0.7,2,10,955
0.7,2,20,1018
0.7,2,50,990
0.7,2,100,975
0.7,2,200,1025
0.7,2,500,1015
0.7,2,1000,933
0.7,2,2000,997
0.7,2,5000,1149
0.7,5,4,1014
0.7,5,5,1048
0.7,5,10,1025
0.7,5,20,1106
0.7,5,50,1126
0.7,5,100,1235
0.7,5,200,1076
0.7,5,500,1090
0.7,5,1000,1037
0.7,5,2000,1106
0.7,5,5000,1105
0.7,10,4,1007
0.7,10,5,1027
0.7,10,10,1043
0.7,10,20,1037
0.7,10,50,1036
0.7,10,100,950
0.7,10,200,1040
0.7,10,500,1027
0.7,10,1000,972
