x,kt2,mu2,time_per_call_ns
0.5,5000,1000,3825
0.5,5000,2000,3857
0.5,5000,5000,4363
0.6,1,4,3711
0.6,1,5,3795
0.6,1,10,3687
0.6,1,20,3937
0.6,1,50,3804
0.6,1,100,4004
0.6,1,200,4333
0.6,1,500,4505
0.6,1,1000,3912
0.6,1,2000,4309
0.6,1,5000,3943
0.6,2,4,3820
0.6,2,5,4301
0.6,2,10,3906
0.6,2,20,4010
0.6,2,50,3833
0.6,2,100,3846
0.6,2,200,3823
0.6,2,500,4215
0.6,2,1000,3787
0.6,2,2000,3894
0.6,2,5000,3868
0.6,5,4,3891
0.6,5,5,3791
0.6,5,10,3854
0.6,5,20,4354
0.6,5,50,3793
0.6,5,100,3747
0.6,5,200,3889
0.6,5,500,3824
0.6,5,1000,3764
0.6,5,2000,4186
0.6,5,5000,3939
0.6,10,4,3851
0.6,10,5,32863
0.6,10,10,3855
0.6,10,20,4229
0.6,10,50,5626
0.6,10,100,3807
0.6,10,200,3994
0.6,10,500,4857
0.6,10,1000,4283
0.6,10,2000,3785
0.6,10,5000,4204
0.6,20,4,4080
0.6,20,5,3778
0.6,20,10,3822
0.6,20,20,3872
0.6,20,50,3976
0.6,20,100,3749
0.6,20,200,4270
0.6,20,500,3825
0.6,20,1000,3905
0.6,20,2000,3803
0.6,20,5000,4332
0.6,50,4,3883
0.6,50,5,4197
0.6,50,10,3729
0.6,50,20,3895
0.6,50,50,3858
0.6,50,100,3798
0.6,50,200,3799
0.6,50,500,3849
0.6,50,1000,4420
0.6,50,2000,3790
0.6,50,5000,3916
0.6,100,4,3624
0.6,100,5,3794
0.6,100,10,3640
0.6,100,20,3780
0.6,100,50,4266
0.6,100,100,3851
0.6,100,200,3686
0.6,100,500,3621
0.6,100,1000,3869
0.6,100,2000,3762
0.6,100,5000,4181
0.6,200,4,3790
0.6,200,5,3915
0.6,200,10,3724
0.6,200,20,3790
0.6,200,50,3816
0.6,200,100,4010
0.6,200,200,4158
0.6,200,500,3639
0.6,200,1000,3943
0.6,200,2000,3820
0.6,200,5000,3780
0.6,500,4,3639
0.6,500,5,3891
0.6,500,10,4015
0.6,500,20,3733
0.6,500,50,3704
0.6,500,100,3960
0.6,500,200,4062
0.6,500,500,3612
0.6,500,1000,4326
0.6,500,2000,3813
0.6,500,5000,3849
0.6,1000,4,3726
0.6,1000,5,3787
0.6,1000,10,3923
0.6,1000,20,4959
0.6,1000,50,4525
0.6,1000,100,4488
0.6,1000,200,4825
0.6,1000,500,4448
0.6,1000,1000,4437
0.6,1000,2000,4205
0.6,1000,5000,3775
0.6,2000,4,3727
0.6,2000,5,3813
0.6,2000,10,3911
0.6,2000,20,3814
0.6,2000,50,3809
0.6,2000,100,33749
0.6,2000,200,3943
0.6,2000,500,3734
0.6,2000,1000,3908
0.6,2000,2000,3811
0.6,2000,5000,3857
0.6,5000,4,4187
0.6,5000,5,3869
0.6,5000,10,3807
0.6,5000,20,3863
0.6,5000,50,3795
0.6,5000,100,3806
0.6,5000,200,3879
0.6,5000,500,4163
0.6,5000,1000,3816
0.6,5000,2000,3894
0.6,5000,5000,3929
0.7,1,4,3741
0.7,1,5,3839
0.7,1,10,3972
0.7,1,20,4356
0.7,1,50,3815
